vendor_name,vendor_category,payment_type,payment_amount,payment_date,cheque_number,bank
PEARL PLASTICS,Homeware,Cheque Issued,48814.00,26-05-2025,55510,AXIS
SMRITHI TRADERS,Homeware,Cheque Pending,27291.00,26-05-2025,,
Sreebala Agencies(R),Homeware,Cheque Pending,34206.00,26-05-2025,,
Nazuk Trading Co,FMCG,Cheque Issued,28633.00,27-05-2025,56155,AXIS
PEARL PLASTICS,Homeware,Cheque Issued,48814.00,27-05-2025,55511,AXIS
RENUKA OIL AND FLOUR MILLS,FMCG,Cheque Issued,42500.00,27-05-2025,56169,AXIS
Reshmi Agencies,FMCG,Cheque Issued,32431.00,27-05-2025,55585,AXIS
SAFA GLOBAL VENTURES,Homeware,Cheque Issued,11299.00,27-05-2025,54886,AXIS
Sona Sanitrade,Homeware,Cheque Pending,44480.00,27-05-2025,,
Team Thai,FMCG,Cheque Issued,26225.00,27-05-2025,56135,AXIS
Western Marketing,Homeware,Bank Transfer,7000.00,27-05-2025,,
White Line Agencies ( Impex)(R),Homeware,Cheque Issued,38285.00,27-05-2025,55532,AXIS
HIBSON ELECTRICALS(R),Homeware,Cheque Issued,16250.00,28-05-2025,56179,AXIS
Kavungal Trading,Homeware,Cheque Pending,11939.00,28-05-2025,,
PEARL PLASTICS,Homeware,Cheque Issued,48814.00,28-05-2025,55512,AXIS
RENUKA OIL AND FLOUR MILLS,FMCG,Cheque Issued,42500.00,28-05-2025,56170,AXIS
Reshmi Agencies,FMCG,Cheque Issued,32431.00,28-05-2025,55586,AXIS
Sevana Hygiene Products Pvt Ltd,Homeware,Cheque Issued,35013.00,28-05-2025,56180,AXIS
White Line Agencies ( Impex)(R),Homeware,Cheque Issued,38285.00,28-05-2025,55531,AXIS
CAPITAL STORE(R),Homeware,Cheque Pending,14616.00,29-05-2025,,
KURIKKAL APPLIANCE DISTRIBUTION MAQBOOL,Homeware,Cheque Issued,37565.00,29-05-2025,55571,AXIS
